,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30
count,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
unique,17,20,19,16,16,16,14,14,12,10,14,14,15,17,15,17,19,12,15,13,14,16,16,15,13,14,12,11,14,11,12,13,12,13,16,11,13,15,12,13,15,12,8,11,14,14,15,12,11,13,15,13,9,10,15,17,18,17,10,6,13,13,14,12,17,17,16,16,16,16,15,14,16,17,15,15,15,16,18,16,18,15,14
top,交通运输,交通运输,非银行金融,医药,医药,医药,房地产,医药,有色金属,有色金属,有色金属,有色金属,机械,机械,有色金属,机械,食品饮料,有色金属,食品饮料,有色金属,食品饮料,食品饮料,食品饮料,食品饮料,有色金属,有色金属,有色金属,非银行金融,房地产,房地产,食品饮料,食品饮料,有色金属,食品饮料,食品饮料,银行,银行,银行,医药,医药,汽车,传媒,传媒,传媒,传媒,传媒,传媒,传媒,传媒,计算机,汽车,传媒,计算机,计算机,传媒,传媒,国防军工,医药,非银行金融,非银行金融,非银行金融,非银行金融,计算机,交通运输,计算机,交通运输,国防军工,交通运输,计算机,国防军工,非银行金融,房地产,房地产,房地产,传媒,传媒,计算机,有色金属,汽车,房地产,房地产,建筑,建筑
freq,3,3,4,3,6,5,4,4,8,10,7,7,5,5,7,4,4,5,6,6,5,6,5,6,9,6,6,6,5,5,7,6,7,6,4,6,11,6,8,4,5,8,11,8,10,5,6,6,12,6,4,6,9,8,4,5,5,5,15,15,11,11,6,8,4,8,7,6,4,4,5,8,7,6,5,4,6,5,4,6,4,6,6
